role,file,width,height,aspect,luminance,contrast,saturation,colorfulness,entropy,edge_density
CONTROL,20260730_220401962.png,768,1360,0.565,102.25,52.0,46.37,21.56,7.537,0.0255
CONTROL,20260730_224059303.png,768,1360,0.565,116.69,34.58,56.67,28.01,7.0,0.0477
CONTROL,20260731_050331331.png,768,1360,0.565,98.92,27.9,63.68,29.98,6.481,0.0434
CONTROL,file_000000006b148210abe3c22f8ce50764.png,1254,1254,1.0,109.39,37.05,57.46,24.46,7.008,0.0191
KNOWLEDGE,20260730_231228063.png,768,1360,0.565,111.1,60.52,61.55,20.02,7.647,0.0143
KNOWLEDGE,20260811_180451129.png,2048,2048,1.0,121.8,37.42,39.96,10.74,7.149,0.0185
KNOWLEDGE,file_000000005de482439d67d0a9a57c0072.png,1214,1295,0.937,132.84,45.92,46.2,13.89,7.392,0.122
OPPORTUNITY,S15.webp,520,520,1.0,100.3,59.45,132.69,48.26,7.724,0.2476
OPPORTUNITY,file_0000000071448246a5f5395f6a286783.png,1254,1254,1.0,100.15,55.99,91.9,33.98,7.729,0.2352
OPPORTUNITY,file_000000008ca882468c596d42a3e3ffce.png,1536,1536,1.0,100.13,60.27,134.3,51.59,7.744,0.1436
RESOURCE,S07.webp,520,520,1.0,158.35,40.12,38.98,39.99,6.725,0.0579
RESOURCE,file_00000000101481f48972b4f70a1ee90c.png,1536,1536,1.0,158.23,40.39,39.29,40.76,6.854,0.0472
