family,n,luminance_mean,contrast_mean,saturation_mean,colorfulness_mean,entropy_mean,edge_density_mean
REST,2,82.28,50.73,76.97,26.48,7.152,0.03
RESOURCE,2,72.16,42.9,124.77,36.34,7.254,0.1023
SAFETY,2,100.48,70.65,55.02,14.89,7.477,0.08
ORDER,2,118.26,41.82,47.38,21.3,6.958,0.0621
CONNECTION,2,134.26,57.56,42.65,25.68,7.167,0.0808
AUTONOMY,1,142.21,50.08,42.44,24.26,6.887,0.0522
AUTONOMY_PLACEHOLDER,1,59.72,46.54,67.96,12.86,7.038,0.0636
CONTROL,2,88.12,42.26,63.18,20.13,6.891,0.0847
MASTERY,2,116.0,52.3,51.64,29.24,7.438,0.0482
EXPLORATION,2,109.87,60.92,125.48,31.42,7.66,0.067
KNOWLEDGE,2,80.52,66.32,138.49,44.28,7.535,0.0266
OPPORTUNITY,2,156.63,56.62,51.7,30.35,7.331,0.0475
